"variable","X1"
"X.Intercept.",-1.1948039527805
"X.Intercept..1",0
"DepartmentResearch...Development",0
"DepartmentSales",-0.0183742278219729
"YearsWithCurrManager",-0.120146242147679
"X.Intercept.",-1.17374726821689
"X.Intercept..1",0
"DepartmentResearch...Development",0
"DepartmentSales",-0.00475906668371706
"EnvironmentSatisfaction",-0.177055428464995
"X.Intercept.",-1.28508019693141
"X.Intercept..1",0
"DepartmentResearch...Development",0
"DepartmentSales",0
"JobSatisfaction",-0.135141009735171
"X.Intercept.",-1.20228489048326
"X.Intercept..1",0
"DepartmentResearch...Development",0
"DepartmentSales",-0.008337262391421
"WorkLifeBalance",-0.162409841785646
"X.Intercept.",-1.64739159976061
"X.Intercept..1",0
"DepartmentResearch...Development",0
"DepartmentSales",0
"JobInvolvement",0
"X.Intercept.",-1.64739159976061
"X.Intercept..1",0
"DepartmentResearch...Development",0
"DepartmentSales",0
"PerformanceRating",0
"X.Intercept.",-4.33346845313501
"X.Intercept..1",0
"DepartmentResearch...Development",0
"DepartmentSales",0
"Avg_Daily_Hours",0.339485674540495
"X.Intercept.",-4.18257640104928
"X.Intercept..1",0
"DepartmentResearch...Development",0
"DepartmentSales",0
"Avg_Weekly_Hours",0.0704532633287917
"X.Intercept.",-1.64739159976061
"X.Intercept..1",0
"DepartmentResearch...Development",0
"DepartmentSales",0
"Days_off",0
"X.Intercept.",-1.64739159976061
"X.Intercept..1",0
"DistanceFromHome",0
"Education",0
"X.Intercept.",-1.64739159976061
"X.Intercept..1",0
"DistanceFromHome",0
"EducationFieldLife.Sciences",0
"EducationFieldMarketing",0
"EducationFieldMedical",0
"EducationFieldOther",0
"EducationFieldTechnical.Degree",0
"X.Intercept.",-1.64739159976061
"X.Intercept..1",0
"DistanceFromHome",0
"GenderMale",0
"X.Intercept.",-1.64739159976061
"X.Intercept..1",0
"DistanceFromHome",0
"JobLevel",0
"X.Intercept.",-1.6273595914397
"X.Intercept..1",0
"DistanceFromHome",0
"JobRoleHuman.Resources",0
"JobRoleLaboratory.Technician",0
"JobRoleManager",-0.0847212390706083
"JobRoleManufacturing.Director",-0.215426053024893
"JobRoleResearch.Director",0.104209795578294
"JobRoleResearch.Scientist",0
"JobRoleSales.Executive",0
"JobRoleSales.Representative",0
"X.Intercept.",-1.94689820071184
"X.Intercept..1",0
"DistanceFromHome",0
"MaritalStatusMarried",0
"MaritalStatusSingle",0.791769772186992
"X.Intercept.",-1.64739159976061
"X.Intercept..1",0
"DistanceFromHome",0
"MonthlyIncome",0
"X.Intercept.",-1.64739159976061
"X.Intercept..1",0
"DistanceFromHome",0
"NumCompaniesWorked",0
"X.Intercept.",-1.74209985044046
"X.Intercept..1",0
"DistanceFromHome",0
"PercentSalaryHike",0.00622185312820234
"X.Intercept.",-1.64739159976061
"X.Intercept..1",0
"DistanceFromHome",0
"StockOptionLevel",0
"X.Intercept.",-0.962989272917044
"X.Intercept..1",0
"DistanceFromHome",0
"TotalWorkingYears",-0.0680668079854379
"X.Intercept.",-1.51704968649235
"X.Intercept..1",0
"DistanceFromHome",0
"TrainingTimesLastYear",-0.0469974744273051
"X.Intercept.",-1.26575649356635
"X.Intercept..1",0
"DistanceFromHome",0
"YearsAtCompany",-0.0598605341607257
"X.Intercept.",-1.64739159976061
"X.Intercept..1",0
"DistanceFromHome",0
"YearsSinceLastPromotion",0
"X.Intercept.",-1.20045007113752
"X.Intercept..1",0
"DistanceFromHome",0
"YearsWithCurrManager",-0.120114009051711
"X.Intercept.",-1.17510930394282
"X.Intercept..1",0
"DistanceFromHome",0
"EnvironmentSatisfaction",-0.177082201415091
"X.Intercept.",-1.28508019693141
"X.Intercept..1",0
"DistanceFromHome",0
"JobSatisfaction",-0.135141009735171
"X.Intercept.",-1.20472087492395
"X.Intercept..1",0
"DistanceFromHome",0
"WorkLifeBalance",-0.162437036767202
"X.Intercept.",-1.64739159976061
"X.Intercept..1",0
"DistanceFromHome",0
"JobInvolvement",0
"X.Intercept.",-1.64739159976061
"X.Intercept..1",0
"DistanceFromHome",0
"PerformanceRating",0
"X.Intercept.",-4.33346845313501
"X.Intercept..1",0
"DistanceFromHome",0
"Avg_Daily_Hours",0.339485674540495
"X.Intercept.",-4.18257640104928
"X.Intercept..1",0
"DistanceFromHome",0
"Avg_Weekly_Hours",0.0704532633287917
"X.Intercept.",-1.54580512679582
"X.Intercept..1",0
"DistanceFromHome",0
"Days_off",-0.00804072716189722
"X.Intercept.",-1.64739159976061
"X.Intercept..1",0
"Education",0
"EducationFieldLife.Sciences",0
"EducationFieldMarketing",0
"EducationFieldMedical",0
"EducationFieldOther",0
"EducationFieldTechnical.Degree",0
"X.Intercept.",-1.64739159976061
"X.Intercept..1",0
"Education",0
"GenderMale",0
"X.Intercept.",-1.64739159976061
"X.Intercept..1",0
"Education",0
"JobLevel",0
"X.Intercept.",-1.6273595914397
"X.Intercept..1",0
"Education",0
"JobRoleHuman.Resources",0
"JobRoleLaboratory.Technician",0
"JobRoleManager",-0.0847212390706083
"JobRoleManufacturing.Director",-0.215426053024893
"JobRoleResearch.Director",0.104209795578294
"JobRoleResearch.Scientist",0
"JobRoleSales.Executive",0
"JobRoleSales.Representative",0
"X.Intercept.",-1.94689820071184
"X.Intercept..1",0
"Education",0
"MaritalStatusMarried",0
"MaritalStatusSingle",0.791769772186992
"X.Intercept.",-1.64739159976061
"X.Intercept..1",0
"Education",0
"MonthlyIncome",0
"X.Intercept.",-1.64739159976061
"X.Intercept..1",0
"Education",0
"NumCompaniesWorked",0
"X.Intercept.",-1.74209985044046
"X.Intercept..1",0
"Education",0
"PercentSalaryHike",0.00622185312820234
"X.Intercept.",-1.64739159976061
"X.Intercept..1",0
"Education",0
"StockOptionLevel",0
"X.Intercept.",-0.962989272917044
"X.Intercept..1",0
"Education",0
"TotalWorkingYears",-0.0680668079854379
"X.Intercept.",-1.51704968649235
"X.Intercept..1",0
"Education",0
"TrainingTimesLastYear",-0.0469974744273051
"X.Intercept.",-1.26575649356635
"X.Intercept..1",0
"Education",0
"YearsAtCompany",-0.0598605341607257
"X.Intercept.",-1.64739159976061
"X.Intercept..1",0
"Education",0
"YearsSinceLastPromotion",0
"X.Intercept.",-1.20045007113752
"X.Intercept..1",0
"Education",0
"YearsWithCurrManager",-0.120114009051711
"X.Intercept.",-1.17510930394282
"X.Intercept..1",0
"Education",0
"EnvironmentSatisfaction",-0.177082201415091
"X.Intercept.",-1.28508019693141
"X.Intercept..1",0
"Education",0
"JobSatisfaction",-0.135141009735171
"X.Intercept.",-1.20472087492395
"X.Intercept..1",0
"Education",0
"WorkLifeBalance",-0.162437036767202
"X.Intercept.",-1.64739159976061
"X.Intercept..1",0
"Education",0
"JobInvolvement",0
"X.Intercept.",-1.64739159976061
"X.Intercept..1",0
"Education",0
"PerformanceRating",0
"X.Intercept.",-4.33346845313501
"X.Intercept..1",0
"Education",0
"Avg_Daily_Hours",0.339485674540495
"X.Intercept.",-4.18257640104928
"X.Intercept..1",0
"Education",0
"Avg_Weekly_Hours",0.0704532633287917
"X.Intercept.",-1.54580512679582
"X.Intercept..1",0
"Education",0
"Days_off",-0.00804072716189722
"X.Intercept.",-1.64739159976061
"X.Intercept..1",0
"EducationFieldLife.Sciences",0
"EducationFieldMarketing",0
"EducationFieldMedical",0
"EducationFieldOther",0
"EducationFieldTechnical.Degree",0
